Real Madrid,Liga,33
Real Madrid,Copa del Rey,19
Real Madrid,Supercopa de España,11
Real Madrid,Champions League,13
Real Madrid,Europa League,2
Real Madrid,Supercopa de Europa,4
Real Madrid,Mundial de Clubes,7
FC Barcelona,Liga,26
FC Barcelona,Copa del Rey,30
FC Barcelona,Supercopa de España,13
FC Barcelona,Champions League,5
FC Barcelona,Europa League,4
FC Barcelona,Supercopa de Europa,5
FC Barcelona,Mundial de Clubes,3
